Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short,normality_score
2011-06-15 00:09:38,371.5,1,2.51666666666668,Wednesday,0,00:09:38,0.9820200255102864
2011-06-15 23:11:15,451.05,1,2.933333333333337,Wednesday,0,23:11:15,0.9849873165536028
2011-06-16 23:03:18,450.8333333333333,3,24.88333333333333,Thursday,0,23:03:18,0.6318482141492121
2011-06-17 23:21:20,438.7166666666666,0,0.0,Friday,0,23:21:20,0.8841753656035659
2011-06-18 23:22:13,442.56666666666666,4,10.483333333333327,Saturday,1,23:22:13,0.5072713613683938
2011-06-19 13:25:43,103.68333333333334,0,0.0,Sunday,1,13:25:43,0.5879360427370757
2011-06-19 22:43:24,462.81666666666666,0,0.0,Sunday,1,22:43:24,0.7806709814841549
2011-06-20 22:22:23,512.4166666666667,1,3.0,Monday,0,22:22:23,0.8578779005980375
2011-06-21 22:55:57,481.03333333333336,3,53.83333333333334,Tuesday,0,22:55:57,0.10685203280565012
2011-06-22 23:56:00,414.8333333333333,1,2.9833333333333485,Wednesday,0,23:56:00,1.0
2011-06-23 22:28:13,515.3833333333333,1,2.8500000000000227,Thursday,0,22:28:13,0.9321442249043566
2011-06-24 23:11:44,497.51666666666665,1,2.26666666666668,Friday,0,23:11:44,0.9449501262114937
2011-06-25 23:20:49,449.9166666666666,3,8.199999999999996,Saturday,1,23:20:49,0.6724951477477599
2011-06-26 07:47:16,2.466666666666667,0,0.0,Sunday,1,07:47:16,0.5582240946228246
2011-06-26 16:01:10,63.75,0,0.0,Sunday,1,16:01:10,0.6687256397834219
2011-06-26 17:36:36,2.583333333333333,0,0.0,Sunday,1,17:36:36,0.6441457848137503
2011-06-26 23:22:35,433.0666666666667,1,3.083333333333343,Sunday,1,23:22:35,0.8780747063264349
2011-06-28 00:12:47,423.6833333333333,1,2.26666666666668,Tuesday,0,00:12:47,0.9561546427527395
2011-06-28 22:44:39,488.98333333333335,1,3.1499999999999773,Tuesday,0,22:44:39,0.9046012562801419
2011-06-29 13:30:10,57.85,0,0.0,Wednesday,0,13:30:10,0.5687218363344141
2011-06-29 21:44:31,531.6,3,7.066666666666663,Wednesday,0,21:44:31,0.6920209633206195
2011-06-30 22:59:24,488.4166666666666,1,1.8166666666666629,Thursday,0,22:59:24,0.9328668792966812
2011-07-01 23:11:48,474.3333333333333,0,0.0,Friday,0,23:11:48,0.8617984327373616
2011-07-02 22:34:55,481.53333333333336,1,3.1166666666666742,Saturday,1,22:34:55,0.8813263165454577
2011-07-03 14:01:50,1.2333333333333334,0,0.0,Sunday,1,14:01:50,0.578091300305654
2011-07-03 14:33:25,21.766666666666666,0,0.0,Sunday,1,14:33:25,0.5741444247411124
2011-07-03 23:57:28,412.0333333333333,1,3.1500000000000057,Sunday,1,23:57:28,0.8874423782734224
2011-07-04 06:57:55,10.616666666666667,0,0.0,Monday,0,06:57:55,0.6689097381709118
2011-07-04 23:59:04,421.5666666666667,1,1.9833333333333345,Monday,0,23:59:04,0.9239622769850007
2011-07-05 23:30:24,428.8,0,0.0,Tuesday,0,23:30:24,0.8739004723011558
2011-07-06 23:49:48,430.9166666666667,2,4.783333333333331,Wednesday,0,23:49:48,0.8772497700733171
2011-07-08 00:10:54,422.6666666666666,1,3.4000000000000057,Friday,0,00:10:54,0.9664508659690668
